iter	RMSE
0	1.492598138e+10
1	1.47980866e+10
2	1.467734813e+10
3	1.455194225e+10
4	1.442786017e+10
5	1.437571654e+10
6	1.425344904e+10
7	1.41562962e+10
8	1.404135064e+10
9	1.393604051e+10
10	1.38178441e+10
11	1.370657415e+10
12	1.359749288e+10
13	1.348243274e+10
14	1.331305277e+10
15	1.320525716e+10
16	1.310027967e+10
17	1.299640381e+10
18	1.288713423e+10
19	1.278301936e+10
20	1.267582848e+10
21	1.256757548e+10
22	1.246432053e+10
23	1.236302162e+10
24	1.227029896e+10
25	1.210775717e+10
26	1.201385124e+10
27	1.186458961e+10
28	1.172899856e+10
29	1.163197762e+10
30	1.154354393e+10
31	1.144794116e+10
32	1.13534802e+10
33	1.126378552e+10
34	1.116539314e+10
35	1.107757993e+10
36	1.098649934e+10
37	1.088930868e+10
38	1.07933645e+10
39	1.070528369e+10
40	1.061327578e+10
41	1.052692262e+10
42	1.039824684e+10
43	1.030959643e+10
44	1.023067303e+10
45	1.015013341e+10
46	1.006871791e+10
47	9947151349
48	9861751456
49	9779507124
50	9696823754
51	9620208179
52	9543112112
53	9467362236
54	9391745292
55	9311841574
56	9238835878
57	9168527041
58	9095707161
59	9034396290
60	8959436260
61	8888392552
62	8818831737
63	8749585198
64	8683819486
65	8579404664
66	8513930662
67	8446810562
68	8378537151
69	8278268960
70	8216181944
71	8148203642
72	8080430281
73	8019827056
74	7959711984
75	7897545983
76	7835834358
77	7771114158
78	7708422549
79	7644334714
80	7586952645
81	7530050501
82	7473575124
83	7415582891
84	7355663053
85	7296932299
86	7237431767
87	7178622567
88	7123436348
89	7064885586
90	6981740749
91	6928303406
92	6870201204
93	6816800091
94	6762103144
95	6711659213
96	6661088432
97	6582893261
98	6532875552
99	6456682091
100	6406549685
101	6358830703
102	6277859326
103	6230748351
104	6158355853
105	6110571220
106	6064084429
107	5991845262
108	5944644875
109	5898546429
110	5854307331
111	5783825502
112	5714675436
113	5670399149
114	5605315567
115	5538363067
116	5494528795
117	5451420093
118	5410534444
119	5370309507
120	5308356116
121	5268461042
122	5228947585
123	5190308511
124	5150133047
125	5111452912
126	5073117016
127	5012740148
128	4973943413
129	4916905265
130	4880030452
131	4843788004
132	4786018694
133	4731115248
134	4695631885
135	4658151194
136	4623570169
137	4587823850
138	4553768590
139	4499497151
140	4466103340
141	4414521316
142	4380398515
143	4347903711
144	4315294434
145	4283288529
146	4251176863
147	4199124623
148	4149004997
149	4118278463
150	4087403945
151	4040262699
152	4009960729
153	3980255529
154	3950403613
155	3906081852
156	3876787659
157	3848088317
158	3819608587
159	3790961524
160	3745821832
161	3718106275
162	3690220478
163	3662921734
164	3618918887
165	3591776996
166	3564838669
167	3522362802
168	3495945081
169	3470085565
170	3444061609
171	3418231148
172	3392594415
173	3367151744
174	3341898106
175	3316833871
176	3291959502
177	3252699640
178	3228306462
179	3204094164
180	3165890707
181	3142481011
182	3119250419
183	3095856041
184	3072637121
185	3035115608
186	3012352241
187	2990098594
188	2968015344
189	2945757559
190	2923664377
191	2901736895
192	2867236838
193	2845732562
194	2824389568
195	2803206647
196	2782182597
197	2761316228
198	2740606357
199	2708039627
200	2687729330
201	2667573777
202	2647566974
203	2615102905
204	2595489633
205	2576023462
206	2556703286
207	2537528012
208	2518496552
209	2499607828
210	2469824527
211	2451300843
212	2432916087
213	2414669217
214	2396559198
215	2378585005
216	2360745618
217	2343042918
218	2325470096
219	2308032048
220	2290721808
221	2273551186
222	2256499553
223	2239575806
224	2222781735
225	2206110873
226	2189565041
227	2173143304
228	2156847515
229	2140671159
230	2124616126
231	2108684347
232	2092869215
233	2077175613
234	2061596797
235	2037482709
236	2022201589
237	2007035077
238	1991985222
239	1977045333
240	1962220475
241	1947503822
242	1932897543
243	1918400812
244	1904012806
245	1880591469
246	1866487034
247	1844662277
248	1830827311
249	1817096106
